"Average_Difficulty_Rating","Number_of_Favorites","Free","name","Average_Rating","Yarn_Weight","Knitting_Needle_Size","crochet_hook","knit_needles","crochet_hook_size","Craft","Pattern_Category","Pattern_Parent_Category","Pattern_Grandparent_Category","pull_date","Number_of_Languages","pull_day","Number_of_Top_20_Appearances"
0,138,"Free","Waistcoats - Oxford",0,"Aran (8 wpi)","8",FALSE,TRUE,"H","Knitting","Vest","Clothing","Categories","2025-11-25",5,25,2
0,4371,"Paid","Edda Sweater",0,"DK (11 wpi)","4",FALSE,TRUE,"E","Knitting","Pullover","Sweater","Clothing","2025-11-25",12,25,4
0,257,"Free","Christmas Tea Party",0,"Fingering (14 wpi)","2",FALSE,TRUE,"C","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-25",1,25,1
0,2219,"Paid","Fiona",0,"Worsted (9 wpi)","5",FALSE,TRUE,"F","Knitting","Pullover","Sweater","Clothing","2025-11-25",2,25,2
0,659,"Free","Hanna Hat",0,"DK (11 wpi)","4",FALSE,TRUE,"E","Knitting","Beanie, Toque","Hat","Accessories","2025-11-25",2,25,1
0,370,"Free","Jali socks",0,"Fingering (14 wpi)","1",FALSE,TRUE,"B","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-25",1,25,2
3.2,31114,"Paid","Lakes Pullover",4.9,"Worsted (9 wpi)","8",FALSE,TRUE,"H","Knitting","Pullover","Sweater","Clothing","2025-11-25",16,25,5
0,1142,"Free","Sugarloaf Shrug",0,"Bulky (7 wpi)","8",FALSE,TRUE,"H","Knitting","Poncho","Neck / Torso","Accessories","2025-11-25",3,25,2
3.3,6861,"Paid","Angry Mittens",4.8,"Aran (8 wpi)","7",FALSE,TRUE,"","Knitting","Mittens","Hands","Accessories","2025-11-25",2,25,3
3,52389,"Paid","Cloud Sweater",4.7,"Bulky (7 wpi)","7",FALSE,TRUE,"","Knitting","Pullover","Sweater","Clothing","2025-11-25",14,25,8
2.5,44929,"Paid","Sophie Hood",4.7,"Worsted (9 wpi)","8",FALSE,TRUE,"H","Knitting","Scarf","Neck / Torso","Accessories","2025-11-25",13,25,9
