"Average Difficulty Rating","Number of Favorites","Free","name","Average Rating","Yarn Weight","Knitting Needle Size","crochet_hook","knit_needles","crochet_hook_size","Craft","Pattern Category","Pattern Parent Category","Pattern Grandparent Category","pull_date","Number of Languages","pull_day","Number of Top 20 Appearances"
0,138,"Paid","Waistcoats - Oxford",0,"Aran (8 wpi)","8",FALSE,TRUE,"H","Knitting","Vest","Clothing","Categories","2025-11-25",5,25,2
0,4371,"Free","Edda Sweater",0,"DK (11 wpi)","4",FALSE,TRUE,"E","Knitting","Pullover","Sweater","Clothing","2025-11-25",12,25,4
0,257,"Paid","Christmas Tea Party",0,"Fingering (14 wpi)","2",FALSE,TRUE,"C","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-25",1,25,1
0,2219,"Free","Fiona",0,"Worsted (9 wpi)","5",FALSE,TRUE,"F","Knitting","Pullover","Sweater","Clothing","2025-11-25",2,25,2
0,659,"Paid","Hanna Hat",0,"DK (11 wpi)","4",FALSE,TRUE,"E","Knitting","Beanie, Toque","Hat","Accessories","2025-11-25",2,25,1
0,370,"Paid","Jali socks",0,"Fingering (14 wpi)","1",FALSE,TRUE,"B","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-25",1,25,2
3.17034700315457,31114,"Free","Lakes Pullover",4.89296636085627,"Worsted (9 wpi)","8",FALSE,TRUE,"H","Knitting","Pullover","Sweater","Clothing","2025-11-25",16,25,5
0,1142,"Paid","Sugarloaf Shrug",0,"Bulky (7 wpi)","8",FALSE,TRUE,"H","Knitting","Poncho","Neck / Torso","Accessories","2025-11-25",3,25,2
3.30769230769231,6861,"Free","Angry Mittens",4.78571428571429,"Aran (8 wpi)","7",FALSE,TRUE,"","Knitting","Mittens","Hands","Accessories","2025-11-25",2,25,3
2.96139927623643,52389,"Free","Cloud Sweater",4.74825986078886,"Bulky (7 wpi)","7",FALSE,TRUE,"","Knitting","Pullover","Sweater","Clothing","2025-11-25",14,25,8
2.53002401921537,44929,"Free","Sophie Hood",4.73764258555133,"Worsted (9 wpi)","8",FALSE,TRUE,"H","Knitting","Scarf","Neck / Torso","Accessories","2025-11-25",13,25,9
2.52702702702703,28802,"Free","Sailor Slippers",4.85654008438819,"Super Bulky (5-6 wpi)","11",FALSE,TRUE,"L","Knitting","Slippers","Feet / Legs","Accessories","2025-11-25",1,25,9
5.03076923076923,33716,"Free","Rosie Sweater",4.72602739726027,"DK (11 wpi)","6",FALSE,TRUE,"G","Knitting","Pullover","Sweater","Clothing","2025-11-25",10,25,9
2.25501530091806,68738,"Paid","Step by Step Sweater",4.87123908120349,"Aran (8 wpi)","7",FALSE,TRUE,"","Knitting","Pullover","Sweater","Clothing","2025-11-25",2,25,9
2.2013201320132,4109,"Free","One Love Mystery Shawl",4.31089743589744,"Fingering (14 wpi)","7",FALSE,TRUE,"","Knitting","Shawl / Wrap","Neck / Torso","Accessories","2025-11-25",1,25,9
2.522178304787,79391,"Free","Musselburgh",4.88507372248031,"Fingering (14 wpi)","2.5",FALSE,TRUE,"","Knitting","Beanie, Toque","Hat","Accessories","2025-11-25",6,25,5
2.40996398559424,63742,"Free","Oslo Hat",4.72295219457646,"DK (11 wpi)","2.5",FALSE,TRUE,"","Knitting","Beanie, Toque","Hat","Accessories","2025-11-25",10,25,9
1.92178098676294,71646,"Free","Sophie Scarf",4.84308943089431,"DK (11 wpi)","4",FALSE,TRUE,"E","Knitting","Scarf","Neck / Torso","Accessories","2025-11-25",17,25,9
2.18093699515347,33641,"Paid","The Simple Thing",4.79813664596273,"DK (11 wpi)","7",FALSE,TRUE,"","Knitting","Scarf","Neck / Torso","Accessories","2025-11-25",4,25,4
3.48310580204778,117155,"Free","Ranunculus",4.81327670284726,"","10",FALSE,TRUE,"J","Knitting","Pullover","Sweater","Clothing","2025-11-25",4,25,7
4.33333333333333,123,"Free","Fluffy MARTA Vest",5,"Super Bulky (5-6 wpi)","10",FALSE,TRUE,"J","Knitting","Vest","Clothing","Categories","2025-11-24",3,24,1
3,5216,"Free","Moon Set Polo",5,"Worsted (9 wpi)","9",FALSE,TRUE,"I","Knitting","Pullover","Sweater","Clothing","2025-11-24",14,24,1
0,933,"Free","Humpy the humpback whale",0,"DK (11 wpi)","1.5",FALSE,TRUE,"","Knitting","Animal","Softies","Toys and Hobbies","2025-11-24",1,24,2
0,411,"Paid","Mistletoe Socks",0,"Fingering (14 wpi)","1.5",FALSE,TRUE,"","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-24",4,24,1
0,207,"Free","Icy brides",0,"Fingering (14 wpi)","2.5",FALSE,TRUE,"","Knitting","Other","Neck / Torso","Accessories","2025-11-24",1,24,1
3,533,"Free","Let It Snow sock set",5,"Fingering (14 wpi)","1",FALSE,TRUE,"B","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-23",6,23,1
3,1460,"Free","Lite Bright Loop",5,"Any gauge - designed for any gauge","4",FALSE,TRUE,"E","Knitting","Scarf","Neck / Torso","Accessories","2025-11-23",4,23,2
0,379,"Free","Poppy Time Scarf",0,"Aran (8 wpi)","7",FALSE,TRUE,"","Knitting","Scarf","Neck / Torso","Accessories","2025-11-23",1,23,1
1.87796771130104,44399,"Free","Sophie Shawl",4.84525939177102,"DK (11 wpi)","8",FALSE,TRUE,"H","Knitting","Shawl / Wrap","Neck / Torso","Accessories","2025-11-23",13,23,1
3.35570469798658,21916,"Free","Hoodola: A Basic Hooded Cowl",4.81761006289308,"DK (11 wpi)","7",FALSE,TRUE,"","Knitting","Cowl","Neck / Torso","Accessories","2025-11-23",6,23,1
0,241,"Free","Elderwild",0,"Worsted (9 wpi)","9",FALSE,TRUE,"I","Knitting","Pullover","Sweater","Clothing","2025-11-21",1,21,1
0,217,"Paid","Ezra Socks",0,"Fingering (14 wpi)","1",FALSE,TRUE,"B","Knitting","Ankle","Socks","Feet / Legs","2025-11-21",1,21,1
0,907,"Free","Jilli Jam",0,"Super Bulky (5-6 wpi)",NA,FALSE,TRUE,"","Knitting","Pullover","Sweater","Clothing","2025-11-21",12,21,1
4.91666666666667,523,"Free","Henna",5,"Fingering (14 wpi)","3",FALSE,TRUE,"D","Knitting","Pullover","Sweater","Clothing","2025-11-21",2,21,1
0,2629,"Free","Polar Coat Adult",0,"Super Bulky (5-6 wpi)","7",FALSE,TRUE,"","Knitting","Coat / Jacket","Clothing","Categories","2025-11-21",3,21,1
0,83,"Free","Kindled Hearth",0,"Worsted (9 wpi)","8",FALSE,TRUE,"H","Knitting","Afghan block","Components","Categories","2025-11-21",1,21,1
0,358,"Free","Sole Mates",0,"Light Fingering","1.5",FALSE,TRUE,"","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-21",1,21,1
0,675,"Free","Intangential (Advent Mystery Shawl KAL 2025)",0,"Fingering (14 wpi)","4",FALSE,TRUE,"E","Knitting","Shawl / Wrap","Neck / Torso","Accessories","2025-11-21",1,21,4
0,132,"Free","Aeterna",0,"DK (11 wpi)","7",FALSE,TRUE,"","Knitting","Cowl","Neck / Torso","Accessories","2025-11-20",2,20,1
0,815,"Free","Mae Scarf",0,"Any gauge - designed for any gauge","2.5",FALSE,TRUE,"","Knitting","Scarf","Neck / Torso","Accessories","2025-11-20",8,20,2
0,684,"Paid","Winter Lights Blanket",0,"DK (11 wpi)","6",TRUE,FALSE,"G","Crochet","Bedspread","Blanket","Home","2025-11-20",1,20,1
0,225,"Paid","Eclosion",0,"Worsted (9 wpi)","8",FALSE,TRUE,"H","Knitting","Pullover","Sweater","Clothing","2025-11-20",4,20,1
0,245,"Free","The Mighty Squoosh Cowl",0,"Super Bulky (5-6 wpi)","10",FALSE,TRUE,"J","Knitting","Cowl","Neck / Torso","Accessories","2025-11-20",4,20,1
0,886,"Paid","Gnoming Socks",0,"Fingering (14 wpi)","1.5",FALSE,TRUE,"","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-20",1,20,1
0,636,"Free","Balaclava Pearl",0,"Aran (8 wpi)","6",FALSE,TRUE,"G","Knitting","Balaclava","Hat","Accessories","2025-11-20",2,20,2
0,1501,"Free","Shorty Sock Set Vol. III",0,"Light Fingering","1",FALSE,TRUE,"B","Knitting","Ankle","Socks","Feet / Legs","2025-11-19",2,19,3
0,729,"Free","Zoe Loop Sweater",0,"Worsted (9 wpi)","6",FALSE,TRUE,"G","Knitting","Pullover","Sweater","Clothing","2025-11-19",12,19,1
0,255,"Free","Advent Hat 2025",0,"Fingering (14 wpi)","2",FALSE,TRUE,"C","Knitting","Beanie, Toque","Hat","Accessories","2025-11-19",2,19,1
0,462,"Paid","Flynn Creek Mittens",0,"Worsted (9 wpi)","5",FALSE,TRUE,"F","Knitting","Mittens","Hands","Accessories","2025-11-19",2,19,1
1.81818181818182,3759,"Free","knitpurl beanie",4.72727272727273,"DK (11 wpi)","3",FALSE,TRUE,"D","Knitting","Beanie, Toque","Hat","Accessories","2025-11-19",1,19,1
4,635,"Free","Fully Invested",5,"DK (11 wpi)","7",FALSE,TRUE,"","Knitting","Vest","Clothing","Categories","2025-11-19",2,19,1
3.26666666666667,763,"Free","Logamancy (Advent Mystery Shawl KAL 2024)",4.77777777777778,"Fingering (14 wpi)","4",FALSE,TRUE,"E","Knitting","Shawl / Wrap","Neck / Torso","Accessories","2025-11-19",2,19,2
2.5,1190,"Free","Logpile (Advent Mystery Shawl KAL 2023)",4.71428571428571,"Light Fingering","4",FALSE,TRUE,"E","Knitting","Shawl / Wrap","Neck / Torso","Accessories","2025-11-19",2,19,1
0,179,"Free","Maroon Socks",0,"Fingering (14 wpi)","1",FALSE,TRUE,"B","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-18",1,18,1
0,374,"Free","Manly Beanie",0,"Sport (12 wpi)","3",FALSE,TRUE,"D","Knitting","Beanie, Toque","Hat","Accessories","2025-11-18",1,18,1
0,323,"Free","Hyde Park Socks",0,"Fingering (14 wpi)","1",FALSE,TRUE,"B","Knitting","Mid-calf","Socks","Feet / Legs","2025-11-18",1,18,1
0,198,"Paid","Kõuvõ",0,"Fingering (14 wpi)","4",FALSE,TRUE,"E","Knitting","Cowl","Neck / Torso","Accessories","2025-11-18",2,18,1
0,164,"Paid","Broken Rib Cowl",0,"Bulky (7 wpi)","8",FALSE,TRUE,"H","Knitting","Scarf","Neck / Torso","Accessories","2025-11-18",4,18,1
0,249,"Free","A Place Between",0,"Sport (12 wpi)","4",FALSE,TRUE,"E","Knitting","Scarf","Neck / Torso","Accessories","2025-11-18",1,18,1
0,1135,"Free","Oribus Fingerless Mitts",0,"Fingering (14 wpi)","1.5",FALSE,TRUE,"","Knitting","Fingerless Gloves/Mitts","Hands","Accessories","2025-11-18",1,18,3
5,1444,"Free","Flowing River Cowl",4.9,"Sport (12 wpi)","7",FALSE,TRUE,"","Knitting","Cowl","Neck / Torso","Accessories","2025-11-18",1,18,1
